TimeSpan,Category,FileName
Pal_2008Ð2012,aero,c2.staticflickr.com-4602228038_92870b8775_b.jpg
Pal_2008Ð2012,aero,deeperstudy.com-palmyra_city.jpg
Pal_2008Ð2012,aero,farm2.staticflickr.com-4601619535_93a8dd771b_o.jpg
Pal_2008Ð2012,aero,gadling.com-636238002548a52f2d65z.jpg
Pal_2008Ð2012,aero,i-arttours.com-07palmyra.jpg
Pal_2008Ð2012,aero,i1.trekearth.com-palmira3.jpg
Pal_2008Ð2012,aero,images.travelpod.com-view-of-palmyra-from-castle-palmyra.jpg
Pal_2008Ð2012,aero,media-cdn.tripadvisor.com-site-of-palmyra.jpg
Pal_2008Ð2012,aero,media.web.britannica.com-159647-004-5553BD27.jpg
Pal_2008Ð2012,aero,meltingplots.com-PalmyraSuns.jpg
Pal_2008Ð2012,aero,mollydodd.files.wordpress.com-214.jpg
Pal_2008Ð2012,aero,mosereien.files.wordpress.com-palmyra2.jpg
Pal_2008Ð2012,aero,photos.travellerspoint.com-Palmyra__160_.jpg
Pal_2008Ð2012,aero,religion.utk.edu-Palmyra2.jpg
Pal_2008Ð2012,aero,static.panoramio.com-43156399.jpg
Pal_2008Ð2012,aero,tropophobic.files.wordpress.com-palmyra-1.jpg
Pal_2008Ð2012,aero,"upload.wikimedia.org-Palmyra,_Syria_-_2.jpg"
Pal_2008Ð2012,aero,upload.wikimedia.org-Roman_City_Palmyra_with_Bel_Temple.jpeg
Pal_2008Ð2012,aero,www.geographylists.com-syria_palmyra_view_from_citadel.jpg
Pal_2008Ð2012,aero,www.globalwanderings.co.uk-palmyra.jpg
Pal_2008Ð2012,aero,www.happytellus.com-palmyra--tadmur---syria_321.jpg
Pal_2008Ð2012,aero,www.mmerlino.com-palmyraaerial.jpg
Pal_2008Ð2012,aero,www.mmerlino.com-palmyrasunset.jpg
Pal_2008Ð2012,aero,www.rosemarysheel.com-syria_palmyra_birdseye_desert_ruins_zenobia.jpg
Pal_2008Ð2012,arch,www.rosemarysheel.com-syria_palmyra_birdseye_desert_ruins_zenobia.jpg
Pal_2008Ð2012,arch,c1.staticflickr.com-4245689500_8fa4d95857_b.jpg
Pal_2008Ð2012,arch,dcgazette.com-20051220-144306_Syria_Palmyra_Arch_of_triumph.jpg
Pal_2008Ð2012,arch,desibackpacker.files.wordpress.com-sam_4954.jpg
Pal_2008Ð2012,arch,famouswonders.com-Palmyra.jpg
Pal_2008Ð2012,arch,farflungistan.files.wordpress.com-img_6324_1.jpg
Pal_2008Ð2012,arch,images.travelpod.com-another-hadrians-gate-palmyra.jpg
Pal_2008Ð2012,arch,klio.uoregon.edu-palmyra-arches.jpg
Pal_2008Ð2012,arch,mattveryard.files.wordpress.com-palmyra-ruins-6.jpg
Pal_2008Ð2012,arch,msnbcmedia.msn.com-121128-syria-palmyra.photoblog600.jpg
Pal_2008Ð2012,arch,nayatours.net-palmyra8.jpg
Pal_2008Ð2012,arch,photos1.blogger.com-IMG_0813.jpg
Pal_2008Ð2012,arch,religion.utk.edu-Palmyra6.jpg
Pal_2008Ð2012,arch,revtravel.com-syria-palmyra03.jpg
Pal_2008Ð2012,arch,romeartlover.tripod.com-Palmyr01.jpg
Pal_2008Ð2012,arch,static.panoramio.com-2861280.jpg
Pal_2008Ð2012,arch,theredlist.com-002_cite-de-palmyre_theredlist.jpg
Pal_2008Ð2012,arch,upload.wikimedia.org-Palmyra_-_Monumental_Arch.jpg
Pal_2008Ð2012,arch,upload.wikimedia.org-Palmyra_SYRIE_398.jpg
Pal_2008Ð2012,arch,upload.wikimedia.org-PalmyraCloseup.JPG
Pal_2008Ð2012,arch,users.stlcc.edu-Palmyra125archTriumphal.jpg
Pal_2008Ð2012,arch,www.19thcenturyart-facos.com-hamilton.1.9a_palmyra-bonfils-triumphal_arch.jpg
Pal_2008Ð2012,arch,www.19thcenturyart-facos.com-hamilton.1.9b_palmyra-thor-triumphal_arch.jpg
Pal_2008Ð2012,arch,www.brynmawr.edu-palmyra.JPG
Pal_2008Ð2012,arch,www.christies.com-wood_robert_the_ruins_of_palmyra_otherwise_tedmor_in_the_desart_london_d5421583h.jpg
Pal_2008Ð2012,arch,www.cometosyria.com-palmyra-syria.jpg
Pal_2008Ð2012,arch,www.culturefocus.com-palmyra-2small.jpg
Pal_2008Ð2012,arch,www.gaetanlepage.com-Jordan-Syria 09 356-X2.jpg
Pal_2008Ð2012,arch,www.goseewrite.com-entrance-palmyra.jpg
Pal_2008Ð2012,arch,www.goseewrite.com-palmyra-front-thumb.jpg
Pal_2008Ð2012,arch,www.historvius.com-Palmyra--1242.jpg
Pal_2008Ð2012,arch,www.historvius.com-Palmyra--1243.jpg
Pal_2008Ð2012,arch,www.lifeintheholyland.com-193b_Palmyra.jpg
Pal_2008Ð2012,arch,"www.lifeintheholyland.com-Palmyra,_triumphal_arch,_central_portion,_mat01428.jpg"
Pal_2008Ð2012,arch,www.pauleijkemans.com-Syria - Palmyra (medium).jpg
Pal_2008Ð2012,arch,www.shunya.net-Palmyra1.jpg
Pal_2008Ð2012,temple,didicutler.com-2 Palmyra .jpg
Pal_2008Ð2012,temple,gatesofnineveh.files.wordpress.com-temple_of_bel_in_palmyra.jpg
Pal_2008Ð2012,temple,images.travelpod.com-courtyard-of-temple-of-bel-palmyra.jpg
Pal_2008Ð2012,temple,images.travelpod.com-courtyard-of-temple-of-bel-palmyra.jpg
Pal_2008Ð2012,temple,images.travelpod.com-temple-of-bel-palmyra.jpg
Pal_2008Ð2012,temple,inhomelandsecurity.com-Palmyra_BaalShamin.jpg
Pal_2008Ð2012,temple,m4.i.pbase.com-79213474.Tzo3Ufu1.SyriaMay071176.jpg
Pal_2008Ð2012,temple,mattveryard.files.wordpress.com-palmyra-temple-of-bel-2.jpg
