rgl_link,rgl_link/_text,rgl_link/_title,rgl_link_numbers,rgi_image,rgi_image/_alt,ilmn_value,ilmn_value_numbers,meta_description,meta_description_dates
"/imgres?imgurl=https://thecreatorsproject-images.vice.com/content-images/contentimage/no-slug/3c86939b639489172c13ba35135a288b.jpg&imgrefurl=http://thecreatorsproject.vice.com/blog/help-fight-isis-by-rebuilding-palmyra-in-3d&h=492&w=700&tbnid=WzKI0fM6jUOsmM:&docid=tH2rHa7egSwxkM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","700 × 492 - thecreatorsproject.vice.com","","700; 492","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuJTkmsbqBpbl0iP7MNw1U_bYl-zjYai8cirsJejWjD-Kh5-lUYQ","Image result for palmyra","700 × 492 - thecreatorsproject.vice.com","700; 492","{""cr"":3,""ct"":15,""id"":""WzKI0fM6jUOsmM:"",""isu"":""thecreatorsproject.vice.com"",""ity"":""jpg"",""oh"":492,""ou"":""https://thecreatorsproject-images.vice.com/content-images/contentimage/no-slug/3c86939b639489172c13ba35135a288b.jpg"",""ow"":700,""pt"":""Help Fight ISIS by Rebuilding Palmyra in 3D | The Creators Project"",""rid"":""tH2rHa7egSwxkM"",""ru"":""http://thecreatorsproject.vice.com/blog/help-fight-isis-by-rebuilding-palmyra-in-3d"",""s"":""All images courtesy of #NEWPALMYRA project"",""th"":188,""tu"":""https://encrypted-tbn0.gstatic.com/images?q\u003dtbn:ANd9GcTuJTkmsbqBpbl0iP7MNw1U_bYl-zjYai8cirsJejWjD-Kh5-lUYQ"",""tw"":268}",""
"/imgres?imgurl=http://ichef.bbci.co.uk/news/660/cpsprodpb/135E9/production/_85173397_85173396.jpg&imgrefurl=http://www.bbc.com/news/world-middle-east-34051870&h=371&w=660&tbnid=1YGtRgQkp6_aTM:&docid=4tUCqf708xvskM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","660 × 371 - bbc.com","","660; 371","https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQeO0Bfn7I_oGiOrP89Xjbo1Oz_ytvnCwZu4U5cJ7nGocE_JH1xKA","Image result for palmyra","660 × 371 - bbc.com","660; 371","{""id"":""1YGtRgQkp6_aTM:"",""isu"":""bbc.com"",""ity"":""jpg"",""oh"":371,""ou"":""http://ichef.bbci.co.uk/news/660/cpsprodpb/135E9/production/_85173397_85173396.jpg"",""ow"":660,""pt"":""Islamic State photos \u0026#39;show Palmyra temple destruction\u0026#39; - BBC News"",""rid"":""4tUCqf708xvskM"",""ru"":""http://www.bbc.com/news/world-middle-east-34051870"",""s"":""Image caption Syria\u0026#39;s director of antiquities said the Temple of Baalshamin was blown up on Sunday"",""th"":168,""tu"":""https://encrypted-tbn1.gstatic.com/images?q\u003dtbn:ANd9GcQeO0Bfn7I_oGiOrP89Xjbo1Oz_ytvnCwZu4U5cJ7nGocE_JH1xKA"",""tw"":300}",""
"/imgres?imgurl=http://ichef.bbci.co.uk/news/624/cpsprodpb/2705/production/_85298990_5e97a8af-0f8e-4847-90c7-f470e09c63f5.jpg&imgrefurl=http://www.bbc.com/news/world-middle-east-34111092&h=447&w=624&tbnid=VkeKaAOlfOmiYM:&docid=gjwYaLQ98dzetM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","624 × 447 - bbc.com","","624; 447","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTCpzPz0xgX6uByubbuDX-cYfOBTPzC9Vnx8W2LyO5dnFPnGMGW","Image result for palmyra","624 × 447 - bbc.com","624; 447","{""id"":""VkeKaAOlfOmiYM:"",""isu"":""bbc.com"",""ity"":""jpg"",""oh"":447,""ou"":""http://ichef.bbci.co.uk/news/624/cpsprodpb/2705/production/_85298990_5e97a8af-0f8e-4847-90c7-f470e09c63f5.jpg"",""ow"":624,""pt"":""Palmyra\u0026#39;s Temple of Bel destroyed, says UN - BBC News"",""rid"":""gjwYaLQ98dzetM"",""ru"":""http://www.bbc.com/news/world-middle-east-34111092"",""s"":""Ancient city of Palmyra"",""th"":190,""tu"":""https://encrypted-tbn2.gstatic.com/images?q\u003dtbn:ANd9GcTCpzPz0xgX6uByubbuDX-cYfOBTPzC9Vnx8W2LyO5dnFPnGMGW"",""tw"":265}",""
"/imgres?imgurl=http://images.huffingtonpost.com/2015-06-25-1435205187-7926572-Palmyra_3_FelixBonfils_ca.186776_photographicalbumenprint_MyronBementSmithCollection_FreerandSacklerGalleriesArchives_Smithsonian.jpg&imgrefurl=http://www.huffingtonpost.com/raza-rumi/save-palmyra-from-isiss-r_b_7659742.html&h=3180&w=4000&tbnid=4GV1DBa9PDO-5M:&docid=z0DXUMjB-rMrYM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","4000 × 3180 - huffingtonpost.com","","4000; 3180","https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTFVO_DGpjPg1yebxH3bmMFvpBWnsOGE54p0jM6hzloRLBTkDwLuw","Image result for palmyra","4000 × 3180 - huffingtonpost.com","4000; 3180","{""id"":""4GV1DBa9PDO-5M:"",""isu"":""huffingtonpost.com"",""ity"":""jpg"",""oh"":3180,""ou"":""http://images.huffingtonpost.com/2015-06-25-1435205187-7926572-Palmyra_3_FelixBonfils_ca.186776_photographicalbumenprint_MyronBementSmithCollection_FreerandSacklerGalleriesArchives_Smithsonian.jpg"",""ow"":4000,""pt"":""Save Palmyra From ISIS\u0026#39;s Rampage"",""rid"":""z0DXUMjB-rMrYM"",""ru"":""http://www.huffingtonpost.com/raza-rumi/save-palmyra-from-isiss-r_b_7659742.html"",""s"":""Palmyra prospered in the 2nd and 3rd centuries CE. When the Sāsānians replaced the Parthians in Persia and southern Mesopotamia (226 CE), Palmyrene trade ..."",""th"":200,""tu"":""https://encrypted-tbn1.gstatic.com/images?q\u003dtbn:ANd9GcTFVO_DGpjPg1yebxH3bmMFvpBWnsOGE54p0jM6hzloRLBTkDwLuw"",""tw"":252}","1435190400000"
"/imgres?imgurl=http://ichef-1.bbci.co.uk/news/624/media/images/83136000/gif/_83136115_iraq_syria_control_ramadi_624_2105.gif&imgrefurl=http://www.bbc.com/news/world-middle-east-32820857&h=430&w=624&tbnid=ELrzbGCyJSinTM:&docid=Zo_tRqQWrLOCbM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","624 × 430 - bbc.com","","624; 430","https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTsbmDaHYyS12trwOCEsIec7u9DLzqglqHORcU04Qz0LFUtyDem","Image result for palmyra","624 × 430 - bbc.com","624; 430","{""id"":""ELrzbGCyJSinTM:"",""isu"":""bbc.com"",""ity"":""gif"",""oh"":430,""ou"":""http://ichef-1.bbci.co.uk/news/624/media/images/83136000/gif/_83136115_iraq_syria_control_ramadi_624_2105.gif"",""ow"":624,""pt"":""Islamic State seizes Syria\u0026#39;s ancient Palmyra - BBC News"",""rid"":""Zo_tRqQWrLOCbM"",""ru"":""http://www.bbc.com/news/world-middle-east-32820857"",""s"":""Are you in Palmyra? Do you have friends and family there? You can email haveyoursay@bbc.co.uk with your experiences."",""sc"":1,""th"":186,""tu"":""https://encrypted-tbn3.gstatic.com/images?q\u003dtbn:ANd9GcTsbmDaHYyS12trwOCEsIec7u9DLzqglqHORcU04Qz0LFUtyDem"",""tw"":271}",""
"/imgres?imgurl=http://images.huffingtonpost.com/2015-06-25-1435206064-6269049-FSA_A.04_174G.Palmyra10.jpg&imgrefurl=http://www.huffingtonpost.com/raza-rumi/save-palmyra-from-isiss-r_b_7659742.html&h=3178&w=4057&tbnid=mhofyQetHqmd1M:&docid=z0DXUMjB-rMrYM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","4057 × 3178 - huffingtonpost.com","","4057; 3178","https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQOymnUrVJtrbrsepZxYpCCpZb79PtAKFbavlyYEgVZLocYZ2g64w","Image result for palmyra","4057 × 3178 - huffingtonpost.com","4057; 3178","{""cr"":3,""id"":""mhofyQetHqmd1M:"",""isu"":""huffingtonpost.com"",""ity"":""jpg"",""oh"":3178,""ou"":""http://images.huffingtonpost.com/2015-06-25-1435206064-6269049-FSA_A.04_174G.Palmyra10.jpg"",""ow"":4057,""pt"":""Save Palmyra From ISIS\u0026#39;s Rampage"",""rid"":""z0DXUMjB-rMrYM"",""ru"":""http://www.huffingtonpost.com/raza-rumi/save-palmyra-from-isiss-r_b_7659742.html"",""s"":""The \u0026quot;engraving images\u0026quot; at Sackler are from Robert Woods\u0026#39; 1753 The Ruins of Palmyra, which, according the museum website, are\u0026quot;a publication that inspired the ..."",""th"":199,""tu"":""https://encrypted-tbn3.gstatic.com/images?q\u003dtbn:ANd9GcQOymnUrVJtrbrsepZxYpCCpZb79PtAKFbavlyYEgVZLocYZ2g64w"",""tw"":254}","1435190400000"
"/imgres?imgurl=http://static.independent.co.uk/s3fs-public/thumbnails/image/2015/05/21/18/v2-26-Palmyra-AFP-Getty.jpg&imgrefurl=http://www.independent.co.uk/news/world/middle-east/isis-in-palmyra-after-destruction-of-the-temple-of-baalshamin-what-is-left-of-the-ancient-city-10469385.html&h=1536&w=2048&tbnid=M956f_OruRwCFM:&docid=hHjnCd8UDQawYM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","2048 × 1536 - independent.co.uk","","2048; 1536","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTd5rFUwlP0UjLz7CUou43ipsXhnxelHVeSGPJlxN0UqAcwXlaO","Image result for palmyra","2048 × 1536 - independent.co.uk","2048; 1536","{""id"":""M956f_OruRwCFM:"",""isu"":""independent.co.uk"",""ity"":""jpg"",""oh"":1536,""ou"":""http://static.independent.co.uk/s3fs-public/thumbnails/image/2015/05/21/18/v2-26-Palmyra-AFP-Getty.jpg"",""ow"":2048,""pt"":""Isis in Palmyra: After destruction of the temple of Baalshamin ..."",""rid"":""hHjnCd8UDQawYM"",""ru"":""http://www.independent.co.uk/news/world/middle-east/isis-in-palmyra-after-destruction-of-the-temple-of-baalshamin-what-is-left-of-the-ancient-city-10469385.html"",""s"":""Isis in Palmyra: After destruction of the temple of Baalshamin, what is left of the ancient city? | Middle East | News | The Independent"",""th"":194,""tu"":""https://encrypted-tbn2.gstatic.com/images?q\u003dtbn:ANd9GcTd5rFUwlP0UjLz7CUou43ipsXhnxelHVeSGPJlxN0UqAcwXlaO"",""tw"":259}","1432166400000"
"/imgres?imgurl=http://vid.alarabiya.net/images/2015/05/31/095ef992-7804-4aec-b226-bf8aea0e0278/095ef992-7804-4aec-b226-bf8aea0e0278_16x9_600x338.jpg&imgrefurl=http://english.alarabiya.net/en/News/middle-east/2015/05/30/ISIS-razes-notorious-Syria-regime-jail-in-Palmyra-Monitor.html&h=337&w=600&tbnid=_YN6JZJSDvkaDM:&docid=fg8h231oeTxagM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","600 × 337 - english.alarabiya.net","","600; 337","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSnOH5X32vxMJX0SLwAmYO4VkuMrO_ToC5fGt3qwCew-AVykKCAOA","Image result for palmyra","600 × 337 - english.alarabiya.net","600; 337","{""id"":""_YN6JZJSDvkaDM:"",""isu"":""english.alarabiya.net"",""ity"":""jpg"",""oh"":337,""ou"":""http://vid.alarabiya.net/images/2015/05/31/095ef992-7804-4aec-b226-bf8aea0e0278/095ef992-7804-4aec-b226-bf8aea0e0278_16x9_600x338.jpg"",""ow"":600,""pt"":""ISIS razes notorious Syrian jail in Palmyra - Al Arabiya English"",""rid"":""fg8h231oeTxagM"",""ru"":""http://english.alarabiya.net/en/News/middle-east/2015/05/30/ISIS-razes-notorious-Syria-regime-jail-in-Palmyra-Monitor.html"",""s"":"""",""th"":168,""tu"":""https://encrypted-tbn2.gstatic.com/images?q\u003dtbn:ANd9GcSnOH5X32vxMJX0SLwAmYO4VkuMrO_ToC5fGt3qwCew-AVykKCAOA"",""tw"":300}","1433030400000; 1432944000000"
"/imgres?imgurl=http://vid.alarabiya.net/images/2015/08/23/fe65bded-7b78-40ef-adf8-3c33dc16b5fb/fe65bded-7b78-40ef-adf8-3c33dc16b5fb.png&imgrefurl=http://english.alarabiya.net/en/News/middle-east/2015/08/24/ISIS-blows-up-temple-in-Syria-s-Palmyra.html&h=337&w=600&tbnid=Xp3pFJgNdFVa0M:&docid=1HpMiQQIBBOZ6M&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","600 × 337 - english.alarabiya.net","","600; 337","https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSnkoI-dK8TI-O8ejzHp_ZVZKtb8nI5hzkbY5EzxJe6iryj9v_CAA","Image result for palmyra","600 × 337 - english.alarabiya.net","600; 337","{""id"":""Xp3pFJgNdFVa0M:"",""isu"":""english.alarabiya.net"",""ity"":""png"",""oh"":337,""ou"":""http://vid.alarabiya.net/images/2015/08/23/fe65bded-7b78-40ef-adf8-3c33dc16b5fb/fe65bded-7b78-40ef-adf8-3c33dc16b5fb.png"",""ow"":600,""pt"":""ISIS blows up ancient temple in Syria\u0026#39;s Palmyra - Al Arabiya English"",""rid"":""1HpMiQQIBBOZ6M"",""ru"":""http://english.alarabiya.net/en/News/middle-east/2015/08/24/ISIS-blows-up-temple-in-Syria-s-Palmyra.html"",""s"":""An ISIS fighter reads out a death sentence in front of 25 Syrian soldiers in the site of the amphitheater in Palmyra, Syria. The footage was believed to ..."",""th"":168,""tu"":""https://encrypted-tbn1.gstatic.com/images?q\u003dtbn:ANd9GcSnkoI-dK8TI-O8ejzHp_ZVZKtb8nI5hzkbY5EzxJe6iryj9v_CAA"",""tw"":300}","1440288000000; 1440374400000"
"/imgres?imgurl=https://i0.wp.com/sana.sy/en/wp-content/uploads/2015/05/Palmyra-Tadmur-masscare-ISIS-1.jpg&imgrefurl=https://syria360.wordpress.com/2015/05/24/isis-slaughters-hundreds-of-palmyra-residents/&h=313&w=617&tbnid=eK_HceDlPPNiyM:&docid=SUXn9orCaB1NbM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","617 × 313 - syria360.wordpress.com","","617; 313","https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcStWGmyS-5Kho1iKFi7vA1SGot8Yzs-lIlFEUvC16_1fJ97uCE_","Image result for palmyra","617 × 313 - syria360.wordpress.com","617; 313","{""id"":""eK_HceDlPPNiyM:"",""isu"":""syria360.wordpress.com"",""ity"":""jpg"",""oh"":313,""ou"":""https://i0.wp.com/sana.sy/en/wp-content/uploads/2015/05/Palmyra-Tadmur-masscare-ISIS-1.jpg"",""ow"":617,""pt"":""ISIS Slaughters Hundreds of Palmyra Residents \u2013 SYRIA 360°"",""rid"":""SUXn9orCaB1NbM"",""ru"":""https://syria360.wordpress.com/2015/05/24/isis-slaughters-hundreds-of-palmyra-residents/"",""s"":""Homs, SANA \u2013 Hundreds of residents of Palmyra city-also known as Tadmur-have been killed at the hands of the Islamic State in Iraq and Syria (ISIS), ..."",""th"":160,""tu"":""https://encrypted-tbn3.gstatic.com/images?q\u003dtbn:ANd9GcStWGmyS-5Kho1iKFi7vA1SGot8Yzs-lIlFEUvC16_1fJ97uCE_"",""tw"":315}","1432425600000"
"/imgres?imgurl=http://shoebat.com/wp-content/uploads/2015/05/tadmor2-copy.jpg&imgrefurl=http://shoebat.com/2015/05/24/major-massacre-in-the-biblical-city-of-palmyra-photos-and-testimonies-emerges-showing-obamas-failures/&h=752&w=1302&tbnid=qIux6TjDQQRhpM:&docid=3gsFw7POqtjD3M&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","1302 × 752 - shoebat.com","","1302; 752","https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRTGIi3rCWAOFcboyiS8Vv2j5tizn2tgaZxniZGwdEGtZZ_oq2gXQ","Image result for palmyra","1302 × 752 - shoebat.com","1302; 752","{""id"":""qIux6TjDQQRhpM:"",""isu"":""shoebat.com"",""ity"":""jpg"",""oh"":752,""ou"":""http://shoebat.com/wp-content/uploads/2015/05/tadmor2-copy.jpg"",""ow"":1302,""pt"":""MAJOR MASSACRE In The Biblical City Of Palmyra (Photos And ..."",""rid"":""3gsFw7POqtjD3M"",""ru"":""http://shoebat.com/2015/05/24/major-massacre-in-the-biblical-city-of-palmyra-photos-and-testimonies-emerges-showing-obamas-failures/"",""s"":""This massacre now confirms what Shoebat.com has reported on the day Palmyra fell 3 days ago with now even more shocking testimonies emerged today showing ..."",""th"":170,""tu"":""https://encrypted-tbn1.gstatic.com/images?q\u003dtbn:ANd9GcRTGIi3rCWAOFcboyiS8Vv2j5tizn2tgaZxniZGwdEGtZZ_oq2gXQ"",""tw"":296}","1432425600000"
"/imgres?imgurl=http://ichef-1.bbci.co.uk/news/624/media/images/83140000/jpg/_83140903_elizabethroberts1.jpg&imgrefurl=http://www.bbc.com/news/in-pictures-32824052&h=351&w=624&tbnid=cTzIwkT8r-ZT5M:&docid=da3F0aJ59O3n6M&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","624 × 351 - bbc.com","","624; 351","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsfvMtcjDBihc5R5Xhr78Zv2rqM2lP3FNAPZ0R6ZBQ4Z1hrm5phA","Image result for palmyra","624 × 351 - bbc.com","624; 351","{""cl"":6,""cr"":3,""id"":""cTzIwkT8r-ZT5M:"",""isu"":""bbc.com"",""ity"":""jpg"",""oh"":351,""ou"":""http://ichef-1.bbci.co.uk/news/624/media/images/83140000/jpg/_83140903_elizabethroberts1.jpg"",""ow"":624,""pt"":""Palmyra in pictures: A Syrian site under threat - BBC News"",""rid"":""da3F0aJ59O3n6M"",""ru"":""http://www.bbc.com/news/in-pictures-32824052"",""s"":""Image caption Elizabeth Roberts took this image of the temple of Baalshamin in 2007. Her husband David says: \u0026quot;There is something slightly disquieting about ..."",""th"":168,""tu"":""https://encrypted-tbn0.gstatic.com/images?q\u003dtbn:ANd9GcSsfvMtcjDBihc5R5Xhr78Zv2rqM2lP3FNAPZ0R6ZBQ4Z1hrm5phA"",""tw"":300}",""
"/imgres?imgurl=http://i2.cdn.turner.com/cnnnext/dam/assets/150515085051-07-palmyra-ruins-super-169.jpg&imgrefurl=http://www.cnn.com/2015/05/15/middleeast/gallery/palmyra-ruins-syria/&h=619&w=1100&tbnid=D2fW26Iq5m6c-M:&docid=xXcldM3c72LDvM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","1100 × 619 - cnn.com","","1100; 619","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTzuqYUcxPwf5PAxBsUtNItMIeTJNEE_SMALPTR8gdBLYcZSwHlIA","Image result for palmyra","1100 × 619 - cnn.com","1100; 619","{""cr"":6,""id"":""D2fW26Iq5m6c-M:"",""isu"":""cnn.com"",""ity"":""jpg"",""oh"":619,""ou"":""http://i2.cdn.turner.com/cnnnext/dam/assets/150515085051-07-palmyra-ruins-super-169.jpg"",""ow"":1100,""pt"":""The ruins of Palmyra - CNN.com"",""rid"":""xXcldM3c72LDvM"",""ru"":""http://www.cnn.com/2015/05/15/middleeast/gallery/palmyra-ruins-syria/"",""s"":""10 photos: The ruins of Palmyra"",""th"":168,""tu"":""https://encrypted-tbn2.gstatic.com/images?q\u003dtbn:ANd9GcTzuqYUcxPwf5PAxBsUtNItMIeTJNEE_SMALPTR8gdBLYcZSwHlIA"",""tw"":299}","1431648000000"
"/imgres?imgurl=http://gdb.voanews.com/B5FAEB06-E61D-4495-BD1A-CD1DD8B50E33_mw1024_s_n.jpg&imgrefurl=http://www.voanews.com/content/bassel-khartabil-palmyra-creative-commons-syria-islamic-state/3033453.html&h=768&w=1024&tbnid=_EbH4nMqC5hCFM:&docid=2lcG7C4RyWQ6zM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","1024 × 768 - voanews.com","","1024; 768","https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSig2CHAPYStFcfhKRXZAf-caro4r1YmuOZT1EzrXblixNHZ0E1","Image result for palmyra","1024 × 768 - voanews.com","1024; 768","{""id"":""_EbH4nMqC5hCFM:"",""isu"":""voanews.com"",""ity"":""jpg"",""oh"":768,""ou"":""http://gdb.voanews.com/B5FAEB06-E61D-4495-BD1A-CD1DD8B50E33_mw1024_s_n.jpg"",""ow"":1024,""pt"":""Disappeared Syrian Activist\u0026#39;s 3-D Models Could Save Palmyra"",""rid"":""2lcG7C4RyWQ6zM"",""ru"":""http://www.voanews.com/content/bassel-khartabil-palmyra-creative-commons-syria-islamic-state/3033453.html"",""s"":"""",""th"":194,""tu"":""https://encrypted-tbn3.gstatic.com/images?q\u003dtbn:ANd9GcSig2CHAPYStFcfhKRXZAf-caro4r1YmuOZT1EzrXblixNHZ0E1"",""tw"":259}",""
"/imgres?imgurl=http://ichef-1.bbci.co.uk/news/976/media/images/83026000/jpg/_83026836_83026835.jpg&imgrefurl=http://www.bbc.com/news/world-middle-east-32748392&h=549&w=976&tbnid=EDC5o8IeLgxEgM:&docid=E2uQg9k0nLjHZM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","976 × 549 - bbc.com","","976; 549","https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQAzHdfbXV-pR_Fg3mHk4REq3Oa--qILvwvTz2nC261cWwc_FC-","Image result for palmyra","976 × 549 - bbc.com","976; 549","{""id"":""EDC5o8IeLgxEgM:"",""isu"":""bbc.com"",""ity"":""jpg"",""oh"":549,""ou"":""http://ichef-1.bbci.co.uk/news/976/media/images/83026000/jpg/_83026836_83026835.jpg"",""ow"":976,""pt"":""Palmyra: IS threat to \u0026#39;Venice of the Sands\u0026#39; - BBC News"",""rid"":""E2uQg9k0nLjHZM"",""ru"":""http://www.bbc.com/news/world-middle-east-32748392"",""s"":""Image caption The remains, like the ancient theatre, drew throngs of tourists before the war ..."",""th"":168,""tu"":""https://encrypted-tbn1.gstatic.com/images?q\u003dtbn:ANd9GcQAzHdfbXV-pR_Fg3mHk4REq3Oa--qILvwvTz2nC261cWwc_FC-"",""tw"":300}",""
"/imgres?imgurl=http://thumb101.shutterstock.com/display_pic_with_logo/2053625/240173707/stock-photo-the-roman-theatre-palmyra-ruins-syria-before-civil-war-240173707.jpg&imgrefurl=http://www.shutterstock.com/s/palmyra/search.html&h=318&w=450&tbnid=67qScc7KJt-Q3M:&docid=o-tAPImYKMFDjM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","450 × 318 - shutterstock.com","","450; 318","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTmkvSsIG1NJphvIeFNkDCaJ0QOzwhllN1VqPt9i8jsfOiHXIZ4","Image result for palmyra","450 × 318 - shutterstock.com","450; 318","{""id"":""67qScc7KJt-Q3M:"",""isu"":""shutterstock.com"",""ity"":""jpg"",""oh"":318,""ou"":""http://thumb101.shutterstock.com/display_pic_with_logo/2053625/240173707/stock-photo-the-roman-theatre-palmyra-ruins-syria-before-civil-war-240173707.jpg"",""ow"":450,""pt"":""Palmyra Stock Photos, Images, \u0026amp; Pictures | Shutterstock"",""rid"":""o-tAPImYKMFDjM"",""ru"":""http://www.shutterstock.com/s/palmyra/search.html"",""s"":""the roman theatre palmyra."",""th"":189,""tu"":""https://encrypted-tbn2.gstatic.com/images?q\u003dtbn:ANd9GcTmkvSsIG1NJphvIeFNkDCaJ0QOzwhllN1VqPt9i8jsfOiHXIZ4"",""tw"":267}",""
"/imgres?imgurl=http://www.aljazeera.com/mritems/imagecache/mbdxxlarge/mritems/Images/2015/5/31/2587b13c1195492dadb0b58c9f94b5c1_18.jpg&imgrefurl=http://www.aljazeera.com/news/2015/05/isil-syria-palmyra-prison-150530233411592.html&h=450&w=800&tbnid=fgr12_87cfIEGM:&docid=4W_6Q9NqsLZ58M&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","800 × 450 - aljazeera.com","","800; 450","https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRTcO2w1W6LoaqlC06Zg0XvJToZVpF5xCFvpbHNem0n4ByFW6Gu","Image result for palmyra","800 × 450 - aljazeera.com","800; 450","{""ct"":15,""id"":""fgr12_87cfIEGM:"",""isu"":""aljazeera.com"",""ity"":""jpg"",""oh"":450,""ou"":""http://www.aljazeera.com/mritems/imagecache/mbdxxlarge/mritems/Images/2015/5/31/2587b13c1195492dadb0b58c9f94b5c1_18.jpg"",""ow"":800,""pt"":""ISIL \u0026#39;blows up\u0026#39; Syria\u0026#39;s notorious Palmyra prison - Al Jazeera English"",""rid"":""4W_6Q9NqsLZ58M"",""ru"":""http://www.aljazeera.com/news/2015/05/isil-syria-palmyra-prison-150530233411592.html"",""s"":""ISIL supporters posted pictures purporting to show the destruction of the prison [via Twitter]"",""th"":168,""tu"":""https://encrypted-tbn1.gstatic.com/images?q\u003dtbn:ANd9GcRTcO2w1W6LoaqlC06Zg0XvJToZVpF5xCFvpbHNem0n4ByFW6Gu"",""tw"":300}","1433030400000"
"/imgres?imgurl=http://news.bbcimg.co.uk/news/special/2015/newsspec_12628/img/palmyra_after_976_v5.jpg%253Fv%253D0&imgrefurl=http://www.bbc.com/news/world-middle-east-34294287&h=575&w=976&tbnid=mWmSBVBe12-NXM:&docid=QjjxnnZ_EWrVsM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","976 × 575 - bbc.com","","976; 575","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT3rY0XNUPTKaceuavUoe1QgsvkmSfMTB7A9I6gBKutElnygnbJLw","Image result for palmyra","976 × 575 - bbc.com","976; 575","{""id"":""mWmSBVBe12-NXM:"",""isu"":""bbc.com"",""ity"":""jpg"",""oh"":575,""ou"":""http://news.bbcimg.co.uk/news/special/2015/newsspec_12628/img/palmyra_after_976_v5.jpg?v\u003d0"",""ow"":976,""pt"":""Palmyra: Islamic State\u0026#39;s demolition in the desert - BBC News"",""rid"":""QjjxnnZ_EWrVsM"",""ru"":""http://www.bbc.com/news/world-middle-east-34294287"",""s"":""Palmyra map"",""th"":172,""tu"":""https://encrypted-tbn2.gstatic.com/images?q\u003dtbn:ANd9GcT3rY0XNUPTKaceuavUoe1QgsvkmSfMTB7A9I6gBKutElnygnbJLw"",""tw"":293}",""
"/imgres?imgurl=http://ichef.bbci.co.uk/news/624/cpsprodpb/13A7/production/_85913050_8e2659da-9126-4c94-b8b1-c15608142601.jpg&imgrefurl=http://www.bbc.com/news/world-middle-east-34440759&h=368&w=624&tbnid=bIc2W-26jmY4AM:&docid=WiLnrgUgYb_YEM&ei=JSrwVtjgA8rr-QHi45OYCA&tbm=isch","624 × 368 - bbc.com","","624; 368","https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRTQhK77cZF5BpWFUCsETvq2kq9uuGiRUBrWAlRbXbU2VKbTREM","Image result for palmyra","624 × 368 - bbc.com","624; 368","{""id"":""bIc2W-26jmY4AM:"",""isu"":""bbc.com"",""ity"":""jpg"",""oh"":368,""ou"":""http://ichef.bbci.co.uk/news/624/cpsprodpb/13A7/production/_85913050_8e2659da-9126-4c94-b8b1-c15608142601.jpg"",""ow"":624,""pt"":""Islamic State \u0026#39;blows up Palmyra arch\u0026#39; - BBC News"",""rid"":""WiLnrgUgYb_YEM"",""ru"":""http://www.bbc.com/news/world-middle-east-34440759"",""s"":""Map of Palmyra"",""th"":172,""tu"":""https://encrypted-tbn2.gstatic.com/images?q\u003dtbn:ANd9GcRTQhK77cZF5BpWFUCsETvq2kq9uuGiRUBrWAlRbXbU2VKbTREM"",""tw"":292}",""
